Entity,Code,Year,Coal Consumption (terawatt-hours)
Argentina,ARG,2002,4.586296492
Argentina,ARG,2003,5.593864633
Argentina,ARG,2004,9.51981942
Argentina,ARG,2005,10.96164495
Argentina,ARG,2006,9.923820577
Argentina,ARG,2007,14.3603611
Argentina,ARG,2008,17.51606873
Argentina,ARG,2009,9.620938058
Argentina,ARG,2010,13.47208005
Argentina,ARG,2011,14.61864526
Argentina,ARG,2012,13.66918058
Argentina,ARG,2013,14.93930272
Argentina,ARG,2014,15.8917166
Argentina,ARG,2015,15.81412928
Argentina,ARG,2016,12.18864135
Argentina,ARG,2017,12.52528818
Argentina,ARG,2018,14.15784093
Asia Pacific,,1965,2780.382545
Asia Pacific,,1966,2931.152499
Asia Pacific,,1967,2853.924592
Asia Pacific,,1968,2896.290723
Asia Pacific,,1969,3249.684285
Asia Pacific,,1970,3630.577208
Asia Pacific,,1971,3886.211356
Asia Pacific,,1972,4035.867678
Asia Pacific,,1973,4133.430034
Asia Pacific,,1974,4233.94174
Asia Pacific,,1975,4556.575758
Asia Pacific,,1976,4664.742763
Asia Pacific,,1977,4974.512512
Asia Pacific,,1978,5218.075913
Asia Pacific,,1979,5470.841795
Asia Pacific,,1980,5782.600438
Asia Pacific,,1981,5973.652787
Asia Pacific,,1982,6182.85342
Asia Pacific,,1983,6545.106966
Asia Pacific,,1984,7111.992684
Asia Pacific,,1985,7673.257557
Asia Pacific,,1986,7967.968891
Asia Pacific,,1987,8542.295303
Asia Pacific,,1988,9153.144031
Asia Pacific,,1989,9566.153147
Asia Pacific,,1990,9771.201391
Asia Pacific,,1991,10177.72396
Asia Pacific,,1992,10530.05323
Asia Pacific,,1993,11081.32101
Asia Pacific,,1994,11633.45643
Asia Pacific,,1995,11907.96593
Asia Pacific,,1996,12424.77694
Asia Pacific,,1997,12481.72246
Asia Pacific,,1998,12469.89284
Asia Pacific,,1999,12898.27717
Asia Pacific,,2000,13335.97623
Asia Pacific,,2001,13949.2363
Asia Pacific,,2002,15016.87858
Asia Pacific,,2003,17165.75708
Asia Pacific,,2004,19305.74864
Asia Pacific,,2005,21935.53692
Asia Pacific,,2006,23620.47974
Asia Pacific,,2007,25594.07393
Asia Pacific,,2008,26292.97398
Asia Pacific,,2009,27161.97497
Asia Pacific,,2010,28407.90493
Asia Pacific,,2011,30483.28919
Asia Pacific,,2012,31143.16544
Asia Pacific,,2013,31978.67456
Asia Pacific,,2014,32199.35568
Asia Pacific,,2015,31993.85763
Asia Pacific,,2016,31853.46526
Asia Pacific,,2017,32224.90164
Asia Pacific,,2018,33044.86437
Australia,AUS,1965,202.0277778
Australia,AUS,1966,209.3888889
Australia,AUS,1967,215.25
Australia,AUS,1968,221.6944444
Australia,AUS,1969,229.2777778
Australia,AUS,1970,231.6944444
Australia,AUS,1971,232.5694444
Australia,AUS,1972,242.9305556
Australia,AUS,1973,252.9861111
Australia,AUS,1974,264.0694444
Australia,AUS,1975,272.5416667
Australia,AUS,1976,281.7916667
Australia,AUS,1977,294.1805556
Australia,AUS,1978,301.8611111
Australia,AUS,1979,315.5416667
Australia,AUS,1980,324.7638889
Australia,AUS,1981,333.1388889
Australia,AUS,1982,336.6805556
Australia,AUS,1983,336.5555556
Australia,AUS,1984,355.9027778
Australia,AUS,1985,368.1388889
Australia,AUS,1986,377.4861111
Australia,AUS,1987,393.3611111
Australia,AUS,1988,413.7638889
Australia,AUS,1989,433.9583333
Australia,AUS,1990,444.3472222
Australia,AUS,1991,453.2638889
Australia,AUS,1992,455.9583333
Australia,AUS,1993,458.8888889
Australia,AUS,1994,468.2638889
Australia,AUS,1995,484.1666667
Australia,AUS,1996,503.9583333
Australia,AUS,1997,529.4583333
Australia,AUS,1998,553.0833333
Australia,AUS,1999,587.3693573
Australia,AUS,2000,591.5835925
Australia,AUS,2001,585.6118882
Australia,AUS,2002,598.7945456
Australia,AUS,2003,615.944215
Australia,AUS,2004,641.8300979
Australia,AUS,2005,638.1289183
Australia,AUS,2006,655.4123629
Australia,AUS,2007,649.7283743
Australia,AUS,2008,677.3041072
Australia,AUS,2009,654.9699776
Australia,AUS,2010,607.5224584
Australia,AUS,2011,592.1726028
Australia,AUS,2012,555.3424908
Australia,AUS,2013,527.9813798
Australia,AUS,2014,522.9722737
Australia,AUS,2015,540.8229108
Australia,AUS,2016,541.1353486
Australia,AUS,2017,524.1236081
Australia,AUS,2018,514.9354787
Austria,AUT,1965,59.11489975
Austria,AUT,1966,56.46759639
Austria,AUT,1967,53.45090186
Austria,AUT,1968,52.77368472
Austria,AUT,1969,51.93639807
Austria,AUT,1970,55.85416667
Austria,AUT,1971,51.23361111
Austria,AUT,1972,46.45388889
Austria,AUT,1973,46.16972222
Austria,AUT,1974,48.72277778
Austria,AUT,1975,42.34055556
Austria,AUT,1976,45.06
Austria,AUT,1977,37.80027778
Austria,AUT,1978,38.40222222
Austria,AUT,1979,41.68611111
Austria,AUT,1980,42.83472222
Austria,AUT,1981,43.85
Austria,AUT,1982,41.70555556
Austria,AUT,1983,44.65583333
Austria,AUT,1984,50.88638889
Austria,AUT,1985,50.815
Austria,AUT,1986,45.3025
Austria,AUT,1987,44.93944444
Austria,AUT,1988,43.03388889
Austria,AUT,1989,43.22805556
Austria,AUT,1990,47.64055556
Austria,AUT,1991,49.97222222
Austria,AUT,1992,38.88202442
Austria,AUT,1993,34.95875014
Austria,AUT,1994,35.45444444
Austria,AUT,1995,40.33864167
Austria,AUT,1996,40.51019156
Austria,AUT,1997,42.96853033
Austria,AUT,1998,37.83
Austria,AUT,1999,37.56991632
Austria,AUT,2000,42.47900526
Austria,AUT,2001,43.8811335
Austria,AUT,2002,44.57971166
Austria,AUT,2003,47.54769431
Austria,AUT,2004,46.5763065
Austria,AUT,2005,46.43804771
Austria,AUT,2006,46.39797052
Austria,AUT,2007,44.8595934
Austria,AUT,2008,44.31640889
Austria,AUT,2009,33.39078428
Austria,AUT,2010,39.26067949
Austria,AUT,2011,40.31963643
Austria,AUT,2012,37.45485105
Austria,AUT,2013,38.09631303
Austria,AUT,2014,34.89556327
Austria,AUT,2015,37.71359294
Austria,AUT,2016,34.97959568
Austria,AUT,2017,36.25200828
Austria,AUT,2018,33.21807673
Azerbaijan,AZE,1985,1.06996
Azerbaijan,AZE,1986,1.06996
Azerbaijan,AZE,1987,1.06996
Azerbaijan,AZE,1988,1.06996
Azerbaijan,AZE,1989,1.06996
Azerbaijan,AZE,1990,1.03507
Azerbaijan,AZE,1991,0.77921
Azerbaijan,AZE,1992,0.13956
Azerbaijan,AZE,1993,0.03489
Azerbaijan,AZE,1994,0.04652
Azerbaijan,AZE,1995,0.03489
Azerbaijan,AZE,1996,0.03489
Azerbaijan,AZE,1997,0.03489
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0.03489
Azerbaijan,AZE,2002,0.02326
Azerbaijan,AZE,2003,0.03489
Azerbaijan,AZE,2004,0.0106996
Azerbaijan,AZE,2005,0.0374486
Azerbaijan,AZE,2006,0.0374486
Azerbaijan,AZE,2007,0.057333333
Azerbaijan,AZE,2008,0.043
Azerbaijan,AZE,2009,0.043
Azerbaijan,AZE,2010,0.0645
Azerbaijan,AZE,2011,0.057333333
Azerbaijan,AZE,2012,0.043
Azerbaijan,AZE,2013,0.035833333
Azerbaijan,AZE,2014,0.0215
Azerbaijan,AZE,2015,0.035833333
Azerbaijan,AZE,2016,0.014333333
Azerbaijan,AZE,2017,0.014294171
Azerbaijan,AZE,2018,0.014294171
Bangladesh,BGD,1965,0
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,1.08698632
Bangladesh,BGD,1973,1.41251002
Bangladesh,BGD,1974,1.25556317
Bangladesh,BGD,1975,1.45319176
Bangladesh,BGD,1976,1.43575839
Bangladesh,BGD,1977,1.49970013
Bangladesh,BGD,1978,1.45319176
Bangladesh,BGD,1979,1.08118295
Bangladesh,BGD,1980,1.4443297
Bangladesh,BGD,1981,1.48477884
Bangladesh,BGD,1982,1.79867254
Bangladesh,BGD,1983,1.01798553
Bangladesh,BGD,1984,0.40738727
Bangladesh,BGD,1985,0.56964903
Bangladesh,BGD,1986,0.86029436
Bangladesh,BGD,1987,1.35437165
Bangladesh,BGD,1988,1.39506502
Bangladesh,BGD,1989,1.45319176
Bangladesh,BGD,1990,3.27258896
Bangladesh,BGD,1991,1.04630458
Bangladesh,BGD,1992,0.98236284
Bangladesh,BGD,1993,0.36620544
Bangladesh,BGD,1994,0.34295707
Bangladesh,BGD,1995,3.73179951
Bangladesh,BGD,1996,2.04610079
Bangladesh,BGD,1997,3.75505951
Bangladesh,BGD,1998,1.08117132
Bangladesh,BGD,1999,0.53477066
Bangladesh,BGD,2000,3.83643462
Bangladesh,BGD,2001,4.06894158
Bangladesh,BGD,2002,4.2491368
Bangladesh,BGD,2003,4.06312658
Bangladesh,BGD,2004,4.06894158
Bangladesh,BGD,2005,5.59190171
Bangladesh,BGD,2006,5.4814516
Bangladesh,BGD,2007,7.19039869
Bangladesh,BGD,2008,7.45779565
Bangladesh,BGD,2009,9.00399252
Bangladesh,BGD,2010,9.40507633
Bangladesh,BGD,2011,8.48084023
Bangladesh,BGD,2012,10.49206265
Bangladesh,BGD,2013,11.49220776
Bangladesh,BGD,2014,10.76526298
Bangladesh,BGD,2015,26.40278653
Bangladesh,BGD,2016,19.7808855
Bangladesh,BGD,2017,22.12835448
Bangladesh,BGD,2018,24.79608175
Belarus,BLR,1985,25.11237988
Belarus,BLR,1986,27.47188591
Belarus,BLR,1987,26.71053959
Belarus,BLR,1988,28.61634615
Belarus,BLR,1989,28.09226911
Belarus,BLR,1990,24.71020285
Belarus,BLR,1991,23.47315464
Belarus,BLR,1992,19.55019282
Belarus,BLR,1993,16.79005655
Belarus,BLR,1994,11.76375663
Belarus,BLR,1995,11.06991083
Belarus,BLR,1996,13.43456895
Belarus,BLR,1997,14.15712922
Belarus,BLR,1998,12.5638117
Belarus,BLR,1999,11.65645572
Belarus,BLR,2000,11.57172554
Belarus,BLR,2001,8.308523856
Belarus,BLR,2002,7.837448191
Belarus,BLR,2003,7.376771581
Belarus,BLR,2004,7.225938039
Belarus,BLR,2005,7.97985377
Belarus,BLR,2006,7.144689956
Belarus,BLR,2007,8.080224094
Belarus,BLR,2008,7.532653863
Belarus,BLR,2009,7.176777276
Belarus,BLR,2010,7.507348835
Belarus,BLR,2011,9.018614864
Belarus,BLR,2012,9.19935326
Belarus,BLR,2013,9.764290977
Belarus,BLR,2014,9.686454876
Belarus,BLR,2015,8.61382928
Belarus,BLR,2016,9.46407532
Belarus,BLR,2017,9.788640708
Belarus,BLR,2018,11.12969398
Belgium,BEL,1965,222.9371546
Belgium,BEL,1966,203.3709941
Belgium,BEL,1967,199.5972506
Belgium,BEL,1968,206.0641782
Belgium,BEL,1969,200.6903514
Belgium,BEL,1970,189.1344927
Belgium,BEL,1971,156.6169524
Belgium,BEL,1972,149.5834419
Belgium,BEL,1973,125.5278178
Belgium,BEL,1974,134.2674401
Belgium,BEL,1975,100.2789675
Belgium,BEL,1976,104.5037722
Belgium,BEL,1977,105.9952703
Belgium,BEL,1978,108.5440579
Belgium,BEL,1979,120.9353178
Belgium,BEL,1980,121.9145065
Belgium,BEL,1981,126.2925644
Belgium,BEL,1982,126.4905106
Belgium,BEL,1983,107.9401262
Belgium,BEL,1984,125.1785374
Belgium,BEL,1985,124.8266889
Belgium,BEL,1986,106.5094612
Belgium,BEL,1987,105.993144
Belgium,BEL,1988,107.1084978
Belgium,BEL,1989,112.5345232
Belgium,BEL,1990,123.6317265
Belgium,BEL,1991,118.261039
Belgium,BEL,1992,105.8402455
Belgium,BEL,1993,100.2586247
Belgium,BEL,1994,107.7656734
Belgium,BEL,1995,102.9293961
Belgium,BEL,1996,98.50768168
Belgium,BEL,1997,91.9622479
Belgium,BEL,1998,91.4768117
Belgium,BEL,1999,80.15169215
Belgium,BEL,2000,88.68364623
Belgium,BEL,2001,84.47443522
Belgium,BEL,2002,72.41641633
Belgium,BEL,2003,70.04909494
Belgium,BEL,2004,65.15431869
Belgium,BEL,2005,59.86575064
Belgium,BEL,2006,59.07674818
Belgium,BEL,2007,53.98672749
Belgium,BEL,2008,53.31606028
Belgium,BEL,2009,34.34512287
Belgium,BEL,2010,43.60049784
Belgium,BEL,2011,41.04895725
Belgium,BEL,2012,38.66264407
Belgium,BEL,2013,39.80137226
Belgium,BEL,2014,38.92562163
Belgium,BEL,2015,39.27035809
Belgium,BEL,2016,37.11259767
Belgium,BEL,2017,36.32195538
Belgium,BEL,2018,38.10953021
Brazil,BRA,1965,20.17805
Brazil,BRA,1966,21.8644
Brazil,BRA,1967,22.59709
Brazil,BRA,1968,22.23656
Brazil,BRA,1969,24.81842
Brazil,BRA,1970,28.34479561
Brazil,BRA,1971,28.53244036
Brazil,BRA,1972,30.03591174
Brazil,BRA,1973,29.5185605
Brazil,BRA,1974,31.31228194
Brazil,BRA,1975,37.22524783
Brazil,BRA,1976,39.72639494
Brazil,BRA,1977,50.38603691
Brazil,BRA,1978,57.93501476
Brazil,BRA,1979,62.92865975
Brazil,BRA,1980,68.64476197
Brazil,BRA,1981,67.15785672
Brazil,BRA,1982,70.99180348
Brazil,BRA,1983,79.83681
Brazil,BRA,1984,98.59130966
Brazil,BRA,1985,116.5480431
Brazil,BRA,1986,117.9925042
Brazil,BRA,1987,123.5547914
Brazil,BRA,1988,126.2678338
Brazil,BRA,1989,125.2914789
Brazil,BRA,1990,111.6207904
Brazil,BRA,1991,127.9635419
Brazil,BRA,1992,124.1800143
Brazil,BRA,1993,127.9362688
Brazil,BRA,1994,131.3316494
Brazil,BRA,1995,137.7298224
Brazil,BRA,1996,142.1191353
Brazil,BRA,1997,142.9712617
Brazil,BRA,1998,140.0402208
Brazil,BRA,1999,141.8077968
Brazil,BRA,2000,151.1814893
Brazil,BRA,2001,148.7880045
Brazil,BRA,2002,144.0103916
Brazil,BRA,2003,149.4187289
Brazil,BRA,2004,156.6568869
Brazil,BRA,2005,151.0846026
Brazil,BRA,2006,148.9739738
Brazil,BRA,2007,157.8717215
Brazil,BRA,2008,160.1323555
Brazil,BRA,2009,129.2071603
Brazil,BRA,2010,168.1976407
Brazil,BRA,2011,179.6697005
Brazil,BRA,2012,177.7964094
Brazil,BRA,2013,191.6434946
Brazil,BRA,2014,203.7663697
Brazil,BRA,2015,204.9777114
Brazil,BRA,2016,185.14636
Brazil,BRA,2017,192.7068971
Brazil,BRA,2018,185.0561067
Bulgaria,BGR,1965,69.73348
Bulgaria,BGR,1966,71.90829
Bulgaria,BGR,1967,78.08382
Bulgaria,BGR,1968,84.82922
Bulgaria,BGR,1969,85.28279
Bulgaria,BGR,1970,93.28423
Bulgaria,BGR,1971,92.07471
Bulgaria,BGR,1972,94.9008
Bulgaria,BGR,1973,95.63349
Bulgaria,BGR,1974,94.00529
Bulgaria,BGR,1975,98.55262
Bulgaria,BGR,1976,91.86537
Bulgaria,BGR,1977,91.49321
Bulgaria,BGR,1978,97.55244
Bulgaria,BGR,1979,100.58787
Bulgaria,BGR,1980,105.50736
Bulgaria,BGR,1981,107.13556
Bulgaria,BGR,1982,112.55514
Bulgaria,BGR,1983,112.12483
Bulgaria,BGR,1984,112.29928
Bulgaria,BGR,1985,117.20714
Bulgaria,BGR,1986,120.47517
Bulgaria,BGR,1987,120.3705
Bulgaria,BGR,1988,112.13646
Bulgaria,BGR,1989,114.45083
Bulgaria,BGR,1990,96.05791522
Bulgaria,BGR,1991,85.86169651
Bulgaria,BGR,1992,90.28905143
Bulgaria,BGR,1993,97.20978531
Bulgaria,BGR,1994,88.99108528
Bulgaria,BGR,1995,89.00214541
Bulgaria,BGR,1996,88.62326327
Bulgaria,BGR,1997,101.0551634
Bulgaria,BGR,1998,96.24862396
Bulgaria,BGR,1999,79.25326302
Bulgaria,BGR,2000,73.19367249
Bulgaria,BGR,2001,83.42836324
Bulgaria,BGR,2002,76.82982688
Bulgaria,BGR,2003,86.01832935
Bulgaria,BGR,2004,82.19636245
Bulgaria,BGR,2005,80.50994267
Bulgaria,BGR,2006,81.74977045
Bulgaria,BGR,2007,91.96953991
Bulgaria,BGR,2008,87.66482334
Bulgaria,BGR,2009,73.79338507
Bulgaria,BGR,2010,80.04697563
Bulgaria,BGR,2011,94.14437317
Bulgaria,BGR,2012,80.4279628
Bulgaria,BGR,2013,69.1255799
Bulgaria,BGR,2014,73.851663
Bulgaria,BGR,2015,76.23652243
Bulgaria,BGR,2016,66.224709
Bulgaria,BGR,2017,71.00034753
Bulgaria,BGR,2018,63.81582146
CIS,,1965,3459.188281
CIS,,1966,3585.219047
CIS,,1967,3640.720269
CIS,,1968,3608.970369
CIS,,1969,3677.599181
CIS,,1970,3630.393692
CIS,,1971,3703.805114
CIS,,1972,3803.023325
CIS,,1973,3848.095981
CIS,,1974,3866.987325
CIS,,1975,3977.058744
CIS,,1976,3972.752766
CIS,,1977,4044.114522
CIS,,1978,4019.640623
CIS,,1979,4048.735514
CIS,,1980,3925.490244
CIS,,1981,3900.583883
CIS,,1982,3960.327064
CIS,,1983,3970.486234
CIS,,1984,3933.012209
CIS,,1985,2869.028756
CIS,,1986,2968.828209
CIS,,1987,3026.18338
CIS,,1988,2990.227846
CIS,,1989,2893.596806
CIS,,1990,2689.823883
CIS,,1991,2492.564934
CIS,,1992,2340.034184
CIS,,1993,2105.124347
CIS,,1994,1884.377096
CIS,,1995,1737.786885
CIS,,1996,1681.301061
CIS,,1997,1532.998325
CIS,,1998,1447.33138
CIS,,1999,1438.18783
CIS,,2000,1464.404646
CIS,,2001,1481.496874
CIS,,2002,1492.292993
CIS,,2003,1525.189242
CIS,,2004,1495.710349
CIS,,2005,1440.161468
CIS,,2006,1482.651346
CIS,,2007,1483.293775
CIS,,2008,1595.803039
CIS,,2009,1461.135726
CIS,,2010,1470.350431
CIS,,2011,1549.165466
CIS,,2012,1623.408882
CIS,,2013,1527.624338
CIS,,2014,1492.172712
CIS,,2015,1512.286687
CIS,,2016,1491.946342
CIS,,2017,1470.321574
CIS,,2018,1568.745688
Canada,CAN,1965,179.98588
Canada,CAN,1966,176.45036
Canada,CAN,1967,174.82216
Canada,CAN,1968,189.92953
Canada,CAN,1969,183.37021
Canada,CAN,1970,196.87264
Canada,CAN,1971,187.1267
Canada,CAN,1972,176.57829
Canada,CAN,1973,181.85831
Canada,CAN,1974,184.77744
Canada,CAN,1975,179.76491
Canada,CAN,1976,212.829
Canada,CAN,1977,271.95592
Canada,CAN,1978,223.62164
Canada,CAN,1979,211.74741
Canada,CAN,1980,257.8913889
Canada,CAN,1981,263.3172222
Canada,CAN,1982,278.2447222
Canada,CAN,1983,291.1152778
Canada,CAN,1984,324.2713889
Canada,CAN,1985,311.6905556
Canada,CAN,1986,288.8830556
Canada,CAN,1987,310.4844444
Canada,CAN,1988,333.4186111
Canada,CAN,1989,332.7183333
Canada,CAN,1990,315.6030556
Canada,CAN,1991,305.4961111
Canada,CAN,1992,311.2091667
Canada,CAN,1993,276.3097222
Canada,CAN,1994,292.9691667
Canada,CAN,1995,306.2336111
Canada,CAN,1996,312.6308333
Canada,CAN,1997,326.8466667
Canada,CAN,1998,349.5347222
Canada,CAN,1999,336.1208333
Canada,CAN,2000,355.7355556
Canada,CAN,2001,369.7925
Canada,CAN,2002,372.0708333
Canada,CAN,2003,371.2958333
Canada,CAN,2004,348.8641667
Canada,CAN,2005,349.495
Canada,CAN,2006,339.1761111
Canada,CAN,2007,352.2313889
Canada,CAN,2008,341.9108333
Canada,CAN,2009,273.135
Canada,CAN,2010,288.0236111
Canada,CAN,2011,257.9827778
Canada,CAN,2012,245.1461111
Canada,CAN,2013,241.5280752
Canada,CAN,2014,228.2840379
Canada,CAN,2015,231.2828948
Canada,CAN,2016,217.2624757
Canada,CAN,2017,216.4836215
Canada,CAN,2018,167.7147919
Central America,,1965,0.015264081
Central America,,1966,0.015527845
Central America,,1967,0.015762302
Central America,,1968,0.016113987
Central America,,1969,0.016348444
Central America,,1970,0.011117729
Central America,,1971,0.018447414
Central America,,1972,0.080526019
Central America,,1973,0.115419732
Central America,,1974,0.048084819
Central America,,1975,0.012730549
Central America,,1976,0.007645441
Central America,,1977,0.007824998
Central America,,1978,0.008323218
Central America,,1979,0.016572138
Central America,,1980,0.171612132
Central America,,1981,0.167820752
Central America,,1982,0.032052132
Central America,,1983,0.032052132
Central America,,1984,0.008792132
Central America,,1985,0.262558724
Central America,,1986,0.272490744
Central America,,1987,0.293192143
Central America,,1988,0.150724648
Central America,,1989,0.395853874
Central America,,1990,0.282176889
Central America,,1991,0.395298319
Central America,,1992,0.364569175
Central America,,1993,0.462584128
Central America,,1994,0.46788875
Central America,,1995,0.364846953
Central America,,1996,1.009314347
Central America,,1997,0.494267658
Central America,,1998,0.512635947
Central America,,1999,1.021555601
Central America,,2000,3.0224555
Central America,,2001,3.210246363
Central America,,2002,4.134685616
Central America,,2003,4.665833437
Central America,,2004,4.790347853
Central America,,2005,5.437052423
Central America,,2006,4.779863362
Central America,,2007,5.374443708
Central America,,2008,5.725810732
Central America,,2009,4.711795857
Central America,,2010,5.601052369
Central America,,2011,8.230162567
Central America,,2012,10.13009712
Central America,,2013,12.70748955
Central America,,2014,13.18226191
Central America,,2015,15.5722888
Central America,,2016,17.93672783
Central America,,2017,17.35927647
Central America,,2018,25.9784558
Chile,CHL,1965,13.54895
Chile,CHL,1966,13.956
Chile,CHL,1967,13.956
Chile,CHL,1968,13.956
Chile,CHL,1969,13.956
Chile,CHL,1970,14.92129
Chile,CHL,1971,14.40957
Chile,CHL,1972,11.90912
Chile,CHL,1973,12.93256
Chile,CHL,1974,12.25802
Chile,CHL,1975,9.79246
Chile,CHL,1976,9.8855
Chile,CHL,1977,10.64145
Chile,CHL,1978,10.37396
Chile,CHL,1979,11.47881
Chile,CHL,1980,12.6767
Chile,CHL,1981,12.65344
Chile,CHL,1982,8.43175
Chile,CHL,1983,10.10647
Chile,CHL,1984,13.63036
Chile,CHL,1985,13.64199
Chile,CHL,1986,12.95582
Chile,CHL,1987,13.35124
Chile,CHL,1988,18.608
Chile,CHL,1989,25.14406
Chile,CHL,1990,30.291498
Chile,CHL,1991,24.885874
Chile,CHL,1992,21.517826
Chile,CHL,1993,21.709721
Chile,CHL,1994,25.605771
Chile,CHL,1995,27.604968
Chile,CHL,1996,38.25276798
Chile,CHL,1997,49.7976829
Chile,CHL,1998,46.853781
Chile,CHL,1999,48.350562
Chile,CHL,2000,37.363701
Chile,CHL,2001,29.314578
Chile,CHL,2002,29.547178
Chile,CHL,2003,28.250433
Chile,CHL,2004,32.72340705
Chile,CHL,2005,32.07010845
Chile,CHL,2006,40.03847394
Chile,CHL,2007,47.52157068
Chile,CHL,2008,50.81752068
Chile,CHL,2009,46.45757573
Chile,CHL,2010,52.229167
Chile,CHL,2011,66.986474
